,Model,Domain,Result Set,Task,Language,Score
318,bloom3b,random,1,xstorycloze,my,45.93
319,bloom3b,random,1,xstorycloze,ru,51.62
320,bloom3b,random,1,xstorycloze,sw,53.080000000000005
321,bloom3b,random,1,xstorycloze,te,58.24
322,bloom3b,random,1,xstorycloze,zh,65.72
323,bloom3b,random,1,xwinograd,overall,70.38
324,bloom3b,random,1,xwinograd,en,79.31
325,bloom3b,random,1,xwinograd,fr,72.28999999999999
326,bloom3b,random,1,xwinograd,ja,54.64
327,bloom3b,random,1,xwinograd,pt,68.06
328,bloom3b,random,1,xwinograd,ru,50.79
329,bloom3b,random,1,xwinograd,zh,72.22
330,bloom3b,all,3,pawsx,overall,49.059999999999995
331,bloom3b,all,3,pawsx,de,46.6
332,bloom3b,all,3,pawsx,en,43.45
333,bloom3b,all,3,pawsx,es,42.9
334,bloom3b,all,3,pawsx,fr,52.900000000000006
335,bloom3b,all,3,pawsx,ja,55.05
336,bloom3b,all,3,pawsx,ko,52.6
337,bloom3b,all,3,pawsx,zh,49.95
338,bloom3b,all,3,xcopa,overall,57.64
339,bloom3b,all,3,xcopa,et,51.2
340,bloom3b,all,3,xcopa,ht,51.800000000000004
341,bloom3b,all,3,xcopa,id,70.6
342,bloom3b,all,3,xcopa,it,54.2
343,bloom3b,all,3,xcopa,qu,52.2
344,bloom3b,all,3,xcopa,sw,51.800000000000004
345,bloom3b,all,3,xcopa,ta,56.2
346,bloom3b,all,3,xcopa,th,54.6
347,bloom3b,all,3,xcopa,tr,53.800000000000004
348,bloom3b,all,3,xcopa,vi,71.39999999999999
349,bloom3b,all,3,xcopa,zh,66.2
350,bloom3b,all,3,xnli,overall,41.370000000000005
351,bloom3b,all,3,xnli,ar,33.489999999999995
352,bloom3b,all,3,xnli,bg,39.519999999999996
353,bloom3b,all,3,xnli,de,40.96
354,bloom3b,all,3,xnli,el,33.900000000000006
355,bloom3b,all,3,xnli,en,55.50000000000001
356,bloom3b,all,3,xnli,es,49.44
357,bloom3b,all,3,xnli,fr,50.96000000000001
358,bloom3b,all,3,xnli,hi,44.06
359,bloom3b,all,3,xnli,ru,42.61
360,bloom3b,all,3,xnli,sw,34.339999999999996
361,bloom3b,all,3,xnli,th,36.55
362,bloom3b,all,3,xnli,tr,34.1
363,bloom3b,all,3,xnli,ur,40.12
364,bloom3b,all,3,xnli,vi,43.69
365,bloom3b,all,3,xnli,zh,41.29
366,bloom3b,all,3,xstorycloze,overall,59.709999999999994
367,bloom3b,all,3,xstorycloze,ar,59.699999999999996
368,bloom3b,all,3,xstorycloze,en,70.09
369,bloom3b,all,3,xstorycloze,es,68.30000000000001
370,bloom3b,all,3,xstorycloze,eu,56.19
371,bloom3b,all,3,xstorycloze,hi,60.419999999999995
372,bloom3b,all,3,xstorycloze,id,64.53
373,bloom3b,all,3,xstorycloze,my,48.11
374,bloom3b,all,3,xstorycloze,ru,52.15
375,bloom3b,all,3,xstorycloze,sw,54.6
376,bloom3b,all,3,xstorycloze,te,57.50999999999999
377,bloom3b,all,3,xstorycloze,zh,65.25
378,bloom3b,all,3,xwinograd,overall,70.65
379,bloom3b,all,3,xwinograd,en,79.31
380,bloom3b,all,3,xwinograd,fr,72.28999999999999
381,bloom3b,all,3,xwinograd,ja,54.33
382,bloom3b,all,3,xwinograd,pt,66.16
383,bloom3b,all,3,xwinograd,ru,55.87
384,bloom3b,all,3,xwinograd,zh,73.02
385,bloom3b,all,2,pawsx,overall,48.74
386,bloom3b,all,2,pawsx,de,45.5
387,bloom3b,all,2,pawsx,en,43.85
388,bloom3b,all,2,pawsx,es,42.15
389,bloom3b,all,2,pawsx,fr,52.849999999999994
390,bloom3b,all,2,pawsx,ja,54.75
391,bloom3b,all,2,pawsx,ko,52.800000000000004
392,bloom3b,all,2,pawsx,zh,49.25
