,Model,Domain,Result Set,Task,Score
443,mgpt,typo,2,SET AVG,52.378
444,mgpt,typo,3,pawsx,48.35
445,mgpt,typo,3,xcopa,56.04
446,mgpt,typo,3,xnli,40.78
447,mgpt,typo,3,xstorycloze,56.04
448,mgpt,typo,3,xwinograd,60.550000000000004
449,mgpt,typo,3,SET AVG,52.352
450,mgpt,random,1,pawsx,49.01
451,mgpt,random,1,xcopa,56.2
452,mgpt,random,1,xnli,40.81
453,mgpt,random,1,xstorycloze,56.13
454,mgpt,random,1,xwinograd,60.69
455,mgpt,random,1,SET AVG,52.568000000000005
456,mgpt,random,3,pawsx,48.26
457,mgpt,random,3,xcopa,55.779999999999994
458,mgpt,random,3,xnli,40.63
459,mgpt,random,3,xstorycloze,55.94
460,mgpt,random,3,xwinograd,60.8
461,mgpt,random,3,SET AVG,52.282
462,mgpt,random,2,pawsx,48.86
463,mgpt,random,2,xcopa,55.75
464,mgpt,random,2,xnli,40.69
465,mgpt,random,2,xstorycloze,55.85
466,mgpt,random,2,xwinograd,60.85
467,mgpt,random,2,SET AVG,52.4
468,mgpt,family,3,pawsx,49.66
469,mgpt,family,3,xcopa,55.669999999999995
470,mgpt,family,3,xnli,40.29
471,mgpt,family,3,xstorycloze,55.730000000000004
472,mgpt,family,3,xwinograd,60.440000000000005
473,mgpt,family,3,SET AVG,52.35799999999999
474,mgpt,family,1,pawsx,50.39
475,mgpt,family,1,xcopa,55.55
476,mgpt,family,1,xnli,40.28
477,mgpt,family,1,xstorycloze,55.510000000000005
478,mgpt,family,1,xwinograd,60.940000000000005
479,mgpt,family,1,SET AVG,52.534000000000006
480,mgpt,family,2,pawsx,49.01
481,mgpt,family,2,xcopa,56.24
482,mgpt,family,2,xnli,40.23
483,mgpt,family,2,xstorycloze,56.18
484,mgpt,family,2,xwinograd,61.27
485,mgpt,family,2,SET AVG,52.586
486,mgpt,all,3,pawsx,49.94
487,mgpt,all,3,xcopa,55.85
488,mgpt,all,3,xnli,41.19
489,mgpt,all,3,xstorycloze,56.010000000000005
490,mgpt,all,3,xwinograd,60.550000000000004
491,mgpt,all,3,SET AVG,52.708000000000006
492,mgpt,all,2,pawsx,50.260000000000005
493,mgpt,all,2,xcopa,55.85
494,mgpt,all,2,xnli,41.21
495,mgpt,all,2,xstorycloze,55.98
496,mgpt,all,2,xwinograd,60.46
497,mgpt,all,2,SET AVG,52.751999999999995
498,mgpt,all,1,pawsx,50.22
499,mgpt,all,1,xcopa,55.75
500,mgpt,all,1,xnli,41.28
501,mgpt,all,1,xstorycloze,55.95
502,mgpt,all,1,xwinograd,60.309999999999995
503,mgpt,all,1,SET AVG,52.702
504,bloom7b,geo,1,pawsx,48.32
505,bloom7b,geo,1,xcopa,58.13
506,bloom7b,geo,1,xnli,41.03
507,bloom7b,geo,1,xstorycloze,62.129999999999995
508,bloom7b,geo,1,xwinograd,74.38
509,bloom7b,geo,1,SET AVG,56.798
510,bloom7b,geo,2,pawsx,47.64
511,bloom7b,geo,2,xcopa,57.82000000000001
512,bloom7b,geo,2,xnli,41.54
513,bloom7b,geo,2,xstorycloze,62.03999999999999
514,bloom7b,geo,2,xwinograd,74.33
515,bloom7b,geo,2,SET AVG,56.674
516,bloom7b,geo,3,pawsx,48.010000000000005
517,bloom7b,geo,3,xcopa,57.95
518,bloom7b,geo,3,xnli,41.15
519,bloom7b,geo,3,xstorycloze,62.29
520,bloom7b,geo,3,xwinograd,73.18
521,bloom7b,geo,3,SET AVG,56.516000000000005
522,bloom7b,semantic,2,pawsx,47.14
523,bloom7b,semantic,2,xcopa,58.040000000000006
524,bloom7b,semantic,2,xnli,41.33
525,bloom7b,semantic,2,xstorycloze,61.47
526,bloom7b,semantic,2,xwinograd,74.22
527,bloom7b,semantic,2,SET AVG,56.44
528,bloom7b,semantic,3,pawsx,47.510000000000005
529,bloom7b,semantic,3,xcopa,57.76
530,bloom7b,semantic,3,xnli,40.94
531,bloom7b,semantic,3,xstorycloze,61.150000000000006
532,bloom7b,semantic,3,xwinograd,74.17
533,bloom7b,semantic,3,SET AVG,56.306000000000004
534,bloom7b,semantic,1,pawsx,47.39
535,bloom7b,semantic,1,xcopa,58.29
536,bloom7b,semantic,1,xnli,41.3
537,bloom7b,semantic,1,xstorycloze,61.7
538,bloom7b,semantic,1,xwinograd,74.08
539,bloom7b,semantic,1,SET AVG,56.552
540,bloom7b,typo,1,pawsx,47.82
541,bloom7b,typo,1,xcopa,58.330000000000005
542,bloom7b,typo,1,xnli,41.91
543,bloom7b,typo,1,xstorycloze,61.980000000000004
544,bloom7b,typo,1,xwinograd,73.68
545,bloom7b,typo,1,SET AVG,56.74400000000001
546,bloom7b,typo,3,pawsx,47.61
547,bloom7b,typo,3,xcopa,58.02
548,bloom7b,typo,3,xnli,41.28
549,bloom7b,typo,3,xstorycloze,61.809999999999995
550,bloom7b,typo,3,xwinograd,74.31
551,bloom7b,typo,3,SET AVG,56.605999999999995
552,bloom7b,typo,2,pawsx,47.83
553,bloom7b,typo,2,xcopa,57.91
554,bloom7b,typo,2,xnli,41.699999999999996
555,bloom7b,typo,2,xstorycloze,62.019999999999996
556,bloom7b,typo,2,xwinograd,74.51
557,bloom7b,typo,2,SET AVG,56.794
558,bloom7b,family,1,pawsx,48.83
559,bloom7b,family,1,xcopa,58.040000000000006
560,bloom7b,family,1,xnli,40.949999999999996
561,bloom7b,family,1,xstorycloze,61.18
562,bloom7b,family,1,xwinograd,74.13
563,bloom7b,family,1,SET AVG,56.626
564,bloom7b,family,2,pawsx,46.989999999999995
565,bloom7b,family,2,xcopa,57.91
566,bloom7b,family,2,xnli,41.120000000000005
567,bloom7b,family,2,xstorycloze,61.550000000000004
568,bloom7b,family,2,xwinograd,73.63
569,bloom7b,family,2,SET AVG,56.239999999999995
570,bloom7b,family,3,pawsx,47.81
571,bloom7b,family,3,xcopa,57.91
572,bloom7b,family,3,xnli,41.48
573,bloom7b,family,3,xstorycloze,61.75000000000001
574,bloom7b,family,3,xwinograd,74.24
575,bloom7b,family,3,SET AVG,56.638
576,bloom7b,random,3,pawsx,47.9
577,bloom7b,random,3,xcopa,57.76
578,bloom7b,random,3,xnli,41.71
579,bloom7b,random,3,xstorycloze,61.8
580,bloom7b,random,3,xwinograd,73.79
581,bloom7b,random,3,SET AVG,56.592000000000006
582,bloom7b,random,2,pawsx,48.13
583,bloom7b,random,2,xcopa,58.050000000000004
584,bloom7b,random,2,xnli,41.67
585,bloom7b,random,2,xstorycloze,61.59
586,bloom7b,random,2,xwinograd,73.9
587,bloom7b,random,2,SET AVG,56.668000000000006
588,bloom7b,random,1,pawsx,46.04
589,bloom7b,random,1,xcopa,57.36
590,bloom7b,random,1,xnli,41.52
591,bloom7b,random,1,xstorycloze,61.8
592,bloom7b,random,1,xwinograd,74.03999999999999
593,bloom7b,random,1,SET AVG,56.152
594,bloom7b,all,2,pawsx,47.8
595,bloom7b,all,2,xcopa,58.220000000000006
596,bloom7b,all,2,xnli,40.93
