,Model,Domain,Result Set,Task,Score
449,mt5,vi,2,xcopa,53.620000000000005
450,mt5,vi,2,xnli,35.92
451,mt5,vi,2,xstorycloze,52.83
452,mt5,vi,2,xwinograd,50.39
453,mt5,vi,2,SET AVG,49.10799999999999
454,mt5,vi,2,VI AVG,43.765
455,mt5,geo,1,pawsx,52.290000000000006
456,mt5,geo,1,xcopa,53.15
457,mt5,geo,1,xnli,36.71
458,mt5,geo,1,xstorycloze,52.23
459,mt5,geo,1,xwinograd,50.71
460,mt5,geo,1,SET AVG,49.018
461,mt5,geo,1,VI AVG,42.85
462,mt5,geo,2,pawsx,52.239999999999995
463,mt5,geo,2,xcopa,53.349999999999994
464,mt5,geo,2,xnli,36.88
465,mt5,geo,2,xstorycloze,52.42
466,mt5,geo,2,xwinograd,49.76
467,mt5,geo,2,SET AVG,48.92999999999999
468,mt5,geo,2,VI AVG,43.05
469,mt5,geo,3,pawsx,52.26
470,mt5,geo,3,xcopa,53.11
471,mt5,geo,3,xnli,36.34
472,mt5,geo,3,xstorycloze,52.480000000000004
473,mt5,geo,3,xwinograd,50.39
474,mt5,geo,3,SET AVG,48.916
475,mt5,geo,3,VI AVG,42.89
476,mt5,family,1,pawsx,52.26
477,mt5,family,1,xcopa,54.02
478,mt5,family,1,xnli,36.059999999999995
479,mt5,family,1,xstorycloze,52.35999999999999
480,mt5,family,1,xwinograd,50.1
481,mt5,family,1,SET AVG,48.959999999999994
482,mt5,family,1,VI AVG,43.63
483,mt5,family,2,pawsx,51.99
484,mt5,family,2,xcopa,53.42
485,mt5,family,2,xnli,35.97
486,mt5,family,2,xstorycloze,52.09
487,mt5,family,2,xwinograd,50.14999999999999
488,mt5,family,2,SET AVG,48.724000000000004
489,mt5,family,2,VI AVG,43.665000000000006
490,mt5,family,3,pawsx,52.23
491,mt5,family,3,xcopa,53.82
492,mt5,family,3,xnli,36.05
493,mt5,family,3,xstorycloze,52.629999999999995
494,mt5,family,3,xwinograd,50.96000000000001
495,mt5,family,3,SET AVG,49.138
496,mt5,family,3,VI AVG,42.41
497,mt5,resource,2,pawsx,52.28
498,mt5,resource,2,xcopa,53.76
499,mt5,resource,2,xnli,36.5
500,mt5,resource,2,xstorycloze,52.62
501,mt5,resource,2,xwinograd,50.370000000000005
502,mt5,resource,2,SET AVG,49.106
503,mt5,resource,2,VI AVG,43.245
504,mt5,resource,1,pawsx,51.77
505,mt5,resource,1,xcopa,53.559999999999995
506,mt5,resource,1,xnli,36.559999999999995
507,mt5,resource,1,xstorycloze,52.6
508,mt5,resource,1,xwinograd,51.629999999999995
509,mt5,resource,1,SET AVG,49.224
510,mt5,resource,1,VI AVG,42.685
511,mt5,resource,4,pawsx,52.190000000000005
512,mt5,resource,4,xcopa,54.05
513,mt5,resource,4,xnli,36.199999999999996
514,mt5,resource,4,xstorycloze,52.81
515,mt5,resource,4,xwinograd,50.63999999999999
516,mt5,resource,4,SET AVG,49.178
517,mt5,resource,4,VI AVG,43.765
518,mgpt,learned,3,pawsx,48.730000000000004
519,mgpt,learned,3,xcopa,56.269999999999996
520,mgpt,learned,3,xnli,40.37
521,mgpt,learned,3,xstorycloze,56.11000000000001
522,mgpt,learned,3,xwinograd,60.62
523,mgpt,learned,3,SET AVG,52.42
524,mgpt,learned,3,VI AVG,53.25
525,mgpt,learned,1,pawsx,48.53
526,mgpt,learned,1,xcopa,56.269999999999996
527,mgpt,learned,1,xnli,40.17
528,mgpt,learned,1,xstorycloze,56.25
529,mgpt,learned,1,xwinograd,60.440000000000005
530,mgpt,learned,1,SET AVG,52.33200000000001
531,mgpt,learned,1,VI AVG,53.269999999999996
532,mgpt,learned,2,pawsx,48.47
533,mgpt,learned,2,xcopa,56.02
534,mgpt,learned,2,xnli,40.23
535,mgpt,learned,2,xstorycloze,56.15
536,mgpt,learned,2,xwinograd,60.6
537,mgpt,learned,2,SET AVG,52.294000000000004
538,mgpt,learned,2,VI AVG,53.25
539,mgpt,typology,1,pawsx,49.17
540,mgpt,typology,1,xcopa,55.730000000000004
541,mgpt,typology,1,xnli,40.93
542,mgpt,typology,1,xstorycloze,56.31
543,mgpt,typology,1,xwinograd,60.85
544,mgpt,typology,1,SET AVG,52.598
545,mgpt,typology,1,VI AVG,52.47
546,mgpt,typology,2,pawsx,49.02
547,mgpt,typology,2,xcopa,55.669999999999995
548,mgpt,typology,2,xnli,40.910000000000004
549,mgpt,typology,2,xstorycloze,56.38999999999999
550,mgpt,typology,2,xwinograd,60.91
551,mgpt,typology,2,SET AVG,52.58
552,mgpt,typology,2,VI AVG,52.47
553,mgpt,typology,3,pawsx,49.25
554,mgpt,typology,3,xcopa,55.55
555,mgpt,typology,3,xnli,41.15
556,mgpt,typology,3,xstorycloze,56.220000000000006
557,mgpt,typology,3,xwinograd,60.6
558,mgpt,typology,3,SET AVG,52.553999999999995
559,mgpt,typology,3,VI AVG,53.129999999999995
560,mgpt,vi,2,pawsx,48.94
561,mgpt,vi,2,xcopa,55.71
562,mgpt,vi,2,xnli,40.8
563,mgpt,vi,2,xstorycloze,56.330000000000005
564,mgpt,vi,2,xwinograd,61.339999999999996
565,mgpt,vi,2,SET AVG,52.624
566,mgpt,vi,2,VI AVG,53.49
567,mgpt,vi,3,pawsx,49.120000000000005
568,mgpt,vi,3,xcopa,55.730000000000004
569,mgpt,vi,3,xnli,41.010000000000005
570,mgpt,vi,3,xstorycloze,56.3
571,mgpt,vi,3,xwinograd,61.019999999999996
572,mgpt,vi,3,SET AVG,52.636
573,mgpt,vi,3,VI AVG,53.709999999999994
574,mgpt,vi,1,pawsx,48.8
575,mgpt,vi,1,xcopa,55.669999999999995
576,mgpt,vi,1,xnli,40.86
577,mgpt,vi,1,xstorycloze,56.269999999999996
578,mgpt,vi,1,xwinograd,61.25000000000001
579,mgpt,vi,1,SET AVG,52.56999999999999
580,mgpt,vi,1,VI AVG,53.77
581,mgpt,resource,4,pawsx,48.91
582,mgpt,resource,4,xcopa,56.25
